"","YEAR","id2","EEZgrid","START_LONGITUDE","START_LATITUDE","S"
"565","2017",116,"1 g479",-152.31592521805,57.477297906792,0.562
"566","1990",162,"1 g392",-152.176316927818,60.1414579946319,0.001
"567","1993",162,"1 g392",-152.176316927818,60.1414579946319,0.079
"568","2001",162,"1 g392",-152.176316927818,60.1414579946319,0.021
"569","2003",162,"1 g392",-152.176316927818,60.1414579946319,0.093
"570","2005",162,"1 g392",-152.176316927818,60.1414579946319,0.125
"571","2011",162,"1 g392",-152.176316927818,60.1414579946319,0.313
"572","2013",162,"1 g392",-152.176316927818,60.1414579946319,0.326
"573","2015",162,"1 g392",-152.176316927818,60.1414579946319,0.19
"574","2017",162,"1 g392",-152.176316927818,60.1414579946319,0.088
"575","1996",99,"1 g509",-150.963801304781,56.6025522548186,0.049
"576","2003",99,"1 g509",-150.963801304781,56.6025522548186,0.044
"577","2005",99,"1 g509",-150.963801304781,56.6025522548186,0.005
"578","2007",99,"1 g509",-150.963801304781,56.6025522548186,0.009
"579","2009",99,"1 g509",-150.963801304781,56.6025522548186,0.018
"580","2011",99,"1 g509",-150.963801304781,56.6025522548186,0.106
"581","2015",99,"1 g509",-150.963801304781,56.6025522548186,0.064
"582","2017",99,"1 g509",-150.963801304781,56.6025522548186,0.034
"583","1990",117,"1 g480",-150.9140505672,57.5003123413307,0.076
"584","1993",117,"1 g480",-150.9140505672,57.5003123413307,0.186
"585","1996",117,"1 g480",-150.9140505672,57.5003123413307,0.078
"586","1999",117,"1 g480",-150.9140505672,57.5003123413307,0.103
"587","2001",117,"1 g480",-150.9140505672,57.5003123413307,0.137
"588","2003",117,"1 g480",-150.9140505672,57.5003123413307,0.171
"589","2005",117,"1 g480",-150.9140505672,57.5003123413307,0.304
"590","2007",117,"1 g480",-150.9140505672,57.5003123413307,0.325
"591","2009",117,"1 g480",-150.9140505672,57.5003123413307,0.096
"592","2011",117,"1 g480",-150.9140505672,57.5003123413307,0.359
"593","2013",117,"1 g480",-150.9140505672,57.5003123413307,0.274
"594","2015",117,"1 g480",-150.9140505672,57.5003123413307,0.375
"595","2017",117,"1 g480",-150.9140505672,57.5003123413307,0.2
"596","1990",133,"1 g451",-150.861271653699,58.3979145930013,0.144
"597","1993",133,"1 g451",-150.861271653699,58.3979145930013,0.345
"598","1996",133,"1 g451",-150.861271653699,58.3979145930013,0.251
"599","1999",133,"1 g451",-150.861271653699,58.3979145930013,0.248
"600","2001",133,"1 g451",-150.861271653699,58.3979145930013,0.237
"601","2003",133,"1 g451",-150.861271653699,58.3979145930013,0.417
